Acronym,RGB Triplet,RGB Triplet,red,green,blue,Hexidecimal,Graph ID,Graph Order,ID,ID16,Name,Structure ID Path,Structure ID Path16,Parent ID,Parent ID16,Source,,,
LTerp,"[180,102,50]","180,102,50",180,102,50,B46632,17,19,15581,15581,periventricular stratum of the LTer,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15581/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15581/,15580,15580,Allen,,,
LTeri,"[180,102,50]","180,102,50",180,102,50,B46632,17,21,15583,15583,intermediate stratum of the LTer,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15583/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15583/,15580,15580,Allen,,,
LTers,"[180,102,50]","180,102,50",180,102,50,B46632,17,23,15585,15585,superficial stratum of the LTer,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15585/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15585/,15580,15580,Allen,,,
VOLT,"[180,102,50]","180,102,50",180,102,50,B46632,17,20,15582,15582,vascular organ of the lamina terminalis,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15581/15582/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15581/15582/,15581,15581,Allen,,,
MnPOI,"[180,102,50]","180,102,50",180,102,50,B46632,17,22,15584,15584,"median preoptic nucleus, intermediate part",/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15583/15584/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15583/15584/,15583,15583,Allen,,,
MnPOS,"[180,102,50]","180,102,50",180,102,50,B46632,17,24,15586,15586,"median preoptic nucleus, superficial part",/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15585/15586/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15585/15586/,15585,15585,Allen,,,
PO1v,"[168,77,16]","168,77,16",168,77,16,A84D10,17,26,15588,15588,ventricular zone of PO1,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15588/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15588/,15587,15587,Allen,,,
PO1m,"[180,102,50]","180,102,50",180,102,50,B46632,17,27,15589,15589,mantle zone of PO1,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/,15587,15587,Allen,,,
PO1p,"[180,102,50]","180,102,50",180,102,50,B46632,17,28,15590,15590,periventricular stratum of PO1,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/,15589,15589,Allen,,,
PO1i,"[180,102,50]","180,102,50",180,102,50,B46632,17,31,15593,15593,intermediate stratum of PO1,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/,15589,15589,Allen,,,
PO1s,"[180,102,50]","180,102,50",180,102,50,B46632,17,35,15597,15597,superficial stratum of PO1,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15597/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15597/,15589,15589,Allen,,,
AVPe,"[180,102,50]","180,102,50",180,102,50,B46632,17,29,15591,15591,anteroventral periventricular preoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/15591/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/15591/,15590,15590,Allen,,,
DSPO,"[180,102,50]","180,102,50",180,102,50,B46632,17,30,15592,15592,dorsal septopreoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/15592/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/15592/,15590,15590,Allen,,,
PS,"[180,102,50]","180,102,50",180,102,50,B46632,17,32,15594,15594,parastrial preoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15594/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15594/,15593,15593,Allen,,,
DMPAi,"[180,102,50]","180,102,50",180,102,50,B46632,17,33,15595,15595,"dorsomedial preoptic area, intermediate part",/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15595/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15595/,15593,15593,Allen,,,
LPO1,"[180,102,50]","180,102,50",180,102,50,B46632,17,34,15596,15596,"lateral preoptic area, PO1 part",/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15596/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15596/,15593,15593,Allen,,,
DMPAs,"[180,102,50]","180,102,50",180,102,50,B46632,17,36,15598,15598,"dorsomedial preoptic area, superficial part",/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15597/15598/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15597/15598/,15597,15597,Allen,,,
PO2v,"[168,77,16]","168,77,16",168,77,16,A84D10,17,38,15600,15600,ventricular zone of PO2,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15600/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15600/,15599,15599,Allen,,,
PO2m,"[180,102,50]","180,102,50",180,102,50,B46632,17,39,15601,15601,mantle zone of PO2,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/,15599,15599,Allen,,,
PO2p,"[180,102,50]","180,102,50",180,102,50,B46632,17,40,15602,15602,periventricular stratum of PO2,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/,15601,15601,Allen,,,
PO2i,"[180,102,50]","180,102,50",180,102,50,B46632,17,46,15608,15608,intermediate stratum of PO2,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15608/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15608/,15601,15601,Allen,,,
PO2s,"[180,102,50]","180,102,50",180,102,50,B46632,17,48,15610,15610,superficial stratum of PO2,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/,15601,15601,Allen,,,
MPOPe,"[180,102,50]","180,102,50",180,102,50,B46632,17,41,15603,15603,medial preoptic periventricular stratum,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15603/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15603/,15602,15602,Allen,,,
MPO,"[180,102,50]","180,102,50",180,102,50,B46632,17,42,15604,15604,medial preoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/,15602,15602,Allen,,,
MPOL,"[180,102,50]","180,102,50",180,102,50,B46632,17,43,15605,15605,lateral part of MPO,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15605/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15605/,15604,15604,Allen,,,
MPOM,"[180,102,50]","180,102,50",180,102,50,B46632,17,44,15606,15606,medial part of MPO,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15606/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15606/,15604,15604,Allen,,,
MPOC,"[180,102,50]","180,102,50",180,102,50,B46632,17,45,15607,15607,central part of MPO,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15607/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15607/,15604,15604,Allen,,,
LPO2,"[180,102,50]","180,102,50",180,102,50,B46632,17,47,15609,15609,"lateral preoptic nucleus, PO2 part",/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15608/15609/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15608/15609/,15608,15608,Allen,,,
VMPO,"[180,102,50]","180,102,50",180,102,50,B46632,17,49,15611,15611,ventromedial preoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/15611/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/15611/,15610,15610,Allen,,,
VLPO,"[180,102,50]","180,102,50",180,102,50,B46632,17,50,15612,15612,ventrolateral preoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/15612/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/15612/,15610,15610,Allen,,,
POHv,"[168,77,16]","168,77,16",168,77,16,A84D10,17,52,15614,15614,ventricular zone of POH,/15564/15565/15566/15567/15568/15569/15576/15613/15614/,/15564/15565/15566/15567/15568/15569/15576/15613/15614/,15613,15613,Allen,,,
POHm,"[180,102,50]","180,102,50",180,102,50,B46632,17,53,15615,15615,mantle zone of POH,/15564/15565/15566/15567/15568/15569/15576/15613/15615/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/,15613,15613,Allen,,,
POHp,"[180,102,50]","180,102,50",180,102,50,B46632,17,54,15616,15616,periventricular stratum of POH,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15616/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15616/,15615,15615,Allen,,,
POHi,"[180,102,50]","180,102,50",180,102,50,B46632,17,55,15617,15617,intermediate stratum of POH,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/,15615,15615,Allen,,,
POHs,"[180,102,50]","180,102,50",180,102,50,B46632,17,58,15620,15620,superficial stratum of POH,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15620/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15620/,15615,15615,Allen,,,
StHy,"[180,102,50]","180,102,50",180,102,50,B46632,17,56,15618,15618,striohypothalamic nucleus,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/15618/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/15618/,15617,15617,Allen,,,
POHA,"[180,102,50]","180,102,50",180,102,50,B46632,17,57,15619,15619,preopto-hypothalamic area,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/15619/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/15619/,15617,15617,Allen,,,
ESO,"[180,102,50]","180,102,50",180,102,50,B46632,17,59,15621,15621,episupraoptic nucleus,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15620/15621/,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15620/15621/,15620,15620,Allen,,,
THyA,"[168,102,58]","168,102,58",168,102,58,A8663A,17,61,15623,15623,alar part of terminal hypothalamus,/15564/15565/15566/15567/15568/15622/15623/,/15564/15565/15566/15567/15568/15622/15623/,15622,15622,Allen,,,
THyB,"[134,82,46]","134,82,46",134,82,46,86522E,17,104,15666,15666,basal part of terminal hypothalamus,/15564/15565/15566/15567/15568/15622/15666/,/15564/15565/15566/15567/15568/15622/15666/,15622,15622,Allen,,,
THyF,"[109,66,38]","109,66,38",109,66,38,6D4226,17,174,15736,15736,floor of terminal hypothalamus,/15564/15565/15566/15567/15568/15622/15736/,/15564/15565/15566/15567/15568/15622/15736/,15622,15622,Allen,,,
TPaA,"[168,102,58]","168,102,58",168,102,58,A8663A,17,62,15624,15624,terminal paraventricular area of THyA,/15564/15565/15566/15567/15568/15622/15623/15624/,/15564/15565/15566/15567/15568/15622/15623/15624/,15623,15623,Allen,,,
ES,"[168,102,58]","168,102,58",168,102,58,A8663A,17,72,15634,15634,"eye vesicle, stalk/nerve",/15564/15565/15566/15567/15568/15622/15623/15634/,/15564/15565/15566/15567/15568/15622/15623/15634/,15623,15623,Allen,,,
EPg,"[168,102,58]","168,102,58",168,102,58,A8663A,17,73,15635,15635,"eye vesicle, pigmented retina",/15564/15565/15566/15567/15568/15622/15623/15635/,/15564/15565/15566/15567/15568/15622/15623/15635/,15623,15623,Allen,,,
EN,"[168,102,58]","168,102,58",168,102,58,A8663A,17,74,15636,15636,"eye vesicle, neural retina",/15564/15565/15566/15567/15568/15622/15623/15636/,/15564/15565/15566/15567/15568/15622/15623/15636/,15623,15623,Allen,,,
TSPaA,"[168,102,58]","168,102,58",168,102,58,A8663A,17,91,15653,15653,terminal subparaventricular area of THyA,/15564/15565/15566/15567/15568/15622/15623/15653/,/15564/15565/15566/15567/15568/15622/15623/15653/,15623,15623,Allen,,,
TPaAv,"[168,102,58]","168,102,58",168,102,58,A8663A,17,63,15625,15625,ventricular zone of TPaA,/15564/15565/15566/15567/15568/15622/15623/15624/15625/,/15564/15565/15566/15567/15568/15622/15623/15624/15625/,15624,15624,Allen,,,
TPaAm,"[176,117,77]","176,117,77",176,117,77,B0754D,17,64,15626,15626,mantle zone of TPaA,/15564/15565/15566/15567/15568/15622/15623/15624/15626/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/,15624,15624,Allen,,,
TPaAp,"[176,117,77]","176,117,77",176,117,77,B0754D,17,65,15627,15627,periventricular stratum of TPaA,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15627/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15627/,15626,15626,Allen,,,
TPaAi,"[176,117,77]","176,117,77",176,117,77,B0754D,17,67,15629,15629,intermediate stratum of TPaA,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/,15626,15626,Allen,,,
TPaAs,"[176,117,77]","176,117,77",176,117,77,B0754D,17,70,15632,15632,superficial stratum of TPaA,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/,15626,15626,Allen,,,
RPa,"[176,117,77]","176,117,77",176,117,77,B0754D,17,66,15628,15628,rostral paraventricular nucleus,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15627/15628/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15627/15628/,15627,15627,Allen,,,
LA,"[176,117,77]","176,117,77",176,117,77,B0754D,17,68,15630,15630,lateral anterior hypothalamic nucleus,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/15630/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/15630/,15629,15629,Allen,,,
TSM,"[176,117,77]","176,117,77",176,117,77,B0754D,17,69,15631,15631,terminal nucleus of the stria medullaris,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/15631/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/15631/,15629,15629,Allen,,,
SO,"[176,117,77]","176,117,77",176,117,77,B0754D,17,71,15633,15633,supraoptic nucleus,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/15633/,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/15633/,15632,15632,Allen,,,
ENv,"[168,102,58]","168,102,58",168,102,58,A8663A,17,75,15637,15637,ventricular zone of neural retina,/15564/15565/15566/15567/15568/15622/15623/15636/15637/,/15564/15565/15566/15567/15568/15622/15623/15636/15637/,15636,15636,Allen,,,
ENm,"[176,117,77]","176,117,77",176,117,77,B0754D,17,76,15638,15638,mantle zone of neural retina,/15564/15565/15566/15567/15568/15622/15623/15636/15638/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/,15636,15636,Allen,,,
ENp,"[176,117,77]","176,117,77",176,117,77,B0754D,17,77,15639,15639,periventricular stratum of the retina,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/,15638,15638,Allen,,,
ENi,"[176,117,77]","176,117,77",176,117,77,B0754D,17,80,15642,15642,intermediate stratum of the retina,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/,15638,15638,Allen,,,
ENs,"[176,117,77]","176,117,77",176,117,77,B0754D,17,86,15648,15648,superficial stratum of the retina,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/,15638,15638,Allen,,,
ON,"[176,117,77]","176,117,77",176,117,77,B0754D,17,78,15640,15640,outer nuclear layer (photoreceptor layer),/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/15640/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/15640/,15639,15639,Allen,,,
OPL,"[176,117,77]","176,117,77",176,117,77,B0754D,17,79,15641,15641,outer plexiform layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/15641/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/15641/,15639,15639,Allen,,,
Hor,"[176,117,77]","176,117,77",176,117,77,B0754D,17,81,15643,15643,horizontal cell layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15643/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15643/,15642,15642,Allen,,,
Bi,"[176,117,77]","176,117,77",176,117,77,B0754D,17,82,15644,15644,bipolar cell layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15644/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15644/,15642,15642,Allen,,,
Mu,"[176,117,77]","176,117,77",176,117,77,B0754D,17,83,15645,15645,Mueller cell layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15645/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15645/,15642,15642,Allen,,,
Acr,"[176,117,77]","176,117,77",176,117,77,B0754D,17,84,15646,15646,amacrine cell layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15646/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15646/,15642,15642,Allen,,,
IPL,"[176,117,77]","176,117,77",176,117,77,B0754D,17,85,15647,15647,inner plexiform layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15647/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15647/,15642,15642,Allen,,,
GCL,"[176,117,77]","176,117,77",176,117,77,B0754D,17,87,15649,15649,ganglion cell layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/,15648,15648,Allen,,,
OF,"[176,117,77]","176,117,77",176,117,77,B0754D,17,90,15652,15652,optic fiber layer,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15652/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15652/,15648,15648,Allen,,,
GC,"[176,117,77]","176,117,77",176,117,77,B0754D,17,88,15650,15650,ganglion cells,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15650/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15650/,15649,15649,Allen,,,
IAcr,"[176,117,77]","176,117,77",176,117,77,B0754D,17,89,15651,15651,inverted amacrine cells,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15651/,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15651/,15649,15649,Allen,,,
TSPaAv,"[168,102,58]","168,102,58",168,102,58,A8663A,17,92,15654,15654,ventricular zone of TSPaA,/15564/15565/15566/15567/15568/15622/15623/15653/15654/,/15564/15565/15566/15567/15568/15622/15623/15653/15654/,15653,15653,Allen,,,
TSPaAm,"[176,117,77]","176,117,77",176,117,77,B0754D,17,93,15655,15655,mantle zone of TSPaA,/15564/15565/15566/15567/15568/15622/15623/15653/15655/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/,15653,15653,Allen,,,
TSPaAp,"[176,117,77]","176,117,77",176,117,77,B0754D,17,94,15656,15656,periventricular stratum of TSPaA,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/,15655,15655,Allen,,,
TSPaAi,"[176,117,77]","176,117,77",176,117,77,B0754D,17,97,15659,15659,intermediate stratum of TSPaA,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/,15655,15655,Allen,,,
TSPaAs,"[176,117,77]","176,117,77",176,117,77,B0754D,17,101,15663,15663,superficial stratum of TSPaA,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15663/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15663/,15655,15655,Allen,,,
SCHp,"[176,117,77]","176,117,77",176,117,77,B0754D,17,95,15657,15657,"suprachiasmatic nucleus, periventricular part",/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/15657/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/15657/,15656,15656,Allen,,,
TSPa,"[176,117,77]","176,117,77",176,117,77,B0754D,17,96,15658,15658,terminal subparaventricular area,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/15658/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/15658/,15656,15656,Allen,,,
SCH,"[176,117,77]","176,117,77",176,117,77,B0754D,17,98,15660,15660,suprachiasmatic nucleus,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/15660/,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/15660/,15659,15659,Allen,,,
