Acronym,RGB Triplet,RGB Triplet,red,green,blue,Hexidecimal,Graph ID,Graph Order,ID,ID16,Name,Structure ID Path,Structure ID Path16,Parent ID,Parent ID16,Source,,,
mouse,"[200,106,57]","200,106,57",200,106,57,C86A39,17,0,15564,15564,Mus musculus,/15564/,/15564/,,0,Allen,,,
NP,"[200,106,57]","200,106,57",200,106,57,C86A39,17,1,15565,15565,neural plate,/15564/15565/,/15564/15565/,15564,15564,Allen,,,
tracts,"[204,204,204]","204,204,204",204,204,204,CCCCCC,17,2490,17735,17735,landmark tracts,/15564/17735/,/15564/17735/,15564,15564,Allen,,,
ventricles,"[195,92,46]","195,92,46",195,92,46,C35C2E,17,2566,126651558,21558,"ventricles, neural plate",/15564/126651558/,/15564/21558/,15564,15564,Allen,,,
ventricles16,"[195,92,46]","195,92,46",195,92,46,C35C2E,,2566,20000,20000,"ventricles, neural plate",/15564/20000,/15564/20000/,15564,15564,Allen16,,,
F,"[200,106,57]","200,106,57",200,106,57,C86A39,17,2,15566,15566,forebrain,/15564/15565/15566/,/15564/15565/15566/,15565,15565,Allen,,,
M,"[23,179,23]","23,179,23",23,179,23,17B317,17,1132,16649,16649,midbrain,/15564/15565/16649/,/15564/15565/16649/,15565,15565,Allen,,,
H,"[234,55,255]","234,55,255",234,55,255,EA37FF,17,1308,16808,16808,hindbrain,/15564/15565/16808/,/15564/15565/16808/,15565,15565,Allen,,,
SpC,"[235,227,213]","235,227,213",235,227,213,EBE3D5,17,2397,17651,17651,spinal cord,/15564/15565/17651/,/15564/15565/17651/,15565,15565,Allen,,,
SP,"[168,77,16]","168,77,16",168,77,16,A84D10,17,3,15567,15567,secondary prosencephalon,/15564/15565/15566/15567/,/15564/15565/15566/15567/,15566,15566,Allen,,,
D,"[255,249,199]","255,249,199",255,249,199,FFF9C7,17,773,16308,16308,diencephalon,/15564/15565/15566/16308/,/15564/15565/15566/16308/,15566,15566,Allen,,,
RSP,"[168,77,16]","168,77,16",168,77,16,A84D10,17,4,15568,15568,rostral secondary prosencephalon,/15564/15565/15566/15567/15568/,/15564/15565/15566/15567/15568/,15567,15567,Allen,,,
CSP,"[237,152,92]","237,152,92",237,152,92,ED985C,17,176,15738,15738,caudal secondary prosencephalon,/15564/15565/15566/15567/15738/,/15564/15565/15566/15567/15738/,15567,15567,Allen,,,
POTel,"[168,77,16]","168,77,16",168,77,16,A84D10,17,5,15569,15569,preoptic telencephalon,/15564/15565/15566/15567/15568/15569/,/15564/15565/15566/15567/15568/15569/,15568,15568,Allen,,,
THy,"[168,102,58]","168,102,58",168,102,58,A8663A,17,60,15622,15622,terminal hypothalamus (rostral hypothalamus),/15564/15565/15566/15567/15568/15622/,/15564/15565/15566/15567/15568/15622/,15568,15568,Allen,,,
POR,"[200,106,57]","200,106,57",200,106,57,C86A39,17,6,15570,15570,preoptic roof plate,/15564/15565/15566/15567/15568/15569/15570/,/15564/15565/15566/15567/15568/15569/15570/,15569,15569,Allen,,,
POA,"[168,77,16]","168,77,16",168,77,16,A84D10,17,12,15576,15576,preoptic alar plate,/15564/15565/15566/15567/15568/15569/15576/,/15564/15565/15566/15567/15568/15569/15576/,15569,15569,Allen,,,
RSCom,"[200,106,57]","200,106,57",200,106,57,C86A39,17,7,15571,15571,rostral septocommissural area,/15564/15565/15566/15567/15568/15569/15570/15571/,/15564/15565/15566/15567/15568/15569/15570/15571/,15570,15570,Allen,,,
RSComv,"[195,92,46]","195,92,46",195,92,46,C35C2E,17,8,15572,15572,ventricular zone of RSCom,/15564/15565/15566/15567/15568/15569/15570/15571/15572/,/15564/15565/15566/15567/15568/15569/15570/15571/15572/,15571,15571,Allen,,,
RSComm,"[200,106,57]","200,106,57",200,106,57,C86A39,17,10,15574,15574,mantle zone of RSCom,/15564/15565/15566/15567/15568/15569/15570/15571/15574/,/15564/15565/15566/15567/15568/15569/15570/15571/15574/,15571,15571,Allen,,,
ACBed,"[200,106,57]","200,106,57",200,106,57,C86A39,17,9,15573,15573,anterior commissure bed,/15564/15565/15566/15567/15568/15569/15570/15571/15572/15573/,/15564/15565/15566/15567/15568/15569/15570/15571/15572/15573/,15572,15572,Allen,,,
MnPOC,"[200,106,57]","200,106,57",200,106,57,C86A39,17,11,15575,15575,"median preoptic nucleus, commissural part",/15564/15565/15566/15567/15568/15569/15570/15571/15574/15575/,/15564/15565/15566/15567/15568/15569/15570/15571/15574/15575/,15574,15574,Allen,,,
PO,"[168,77,16]","168,77,16",168,77,16,A84D10,17,13,15577,15577,preoptic area,/15564/15565/15566/15567/15568/15569/15576/15577/,/15564/15565/15566/15567/15568/15569/15576/15577/,15576,15576,Allen,,,
POH,"[168,77,16]","168,77,16",168,77,16,A84D10,17,51,15613,15613,preopto-hypothalamic band,/15564/15565/15566/15567/15568/15569/15576/15613/,/15564/15565/15566/15567/15568/15569/15576/15613/,15576,15576,Allen,,,
POv,"[168,77,16]","168,77,16",168,77,16,A84D10,17,14,111220530,20530,ventricular zone of PO,/15564/15565/15566/15567/15568/15569/15576/15577/111220530/,/15564/15565/15566/15567/15568/15569/15576/15577/20530/,15577,15577,Allen,,,
POm,"[180,102,50]","180,102,50",180,102,50,B46632,17,15,111220532,20532,mantle zone of PO,/15564/15565/15566/15567/15568/15569/15576/15577/111220532/,/15564/15565/15566/15567/15568/15569/15576/15577/20532/,15577,15577,Allen,,,
LTer,"[180,102,50]","180,102,50",180,102,50,B46632,17,16,15578,15578,lamina terminalis area,/15564/15565/15566/15567/15568/15569/15576/15577/15578/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/,15577,15577,Allen,,,
PO1,"[168,77,16]","168,77,16",168,77,16,A84D10,17,25,15587,15587,first (dorsal) preoptic domain,/15564/15565/15566/15567/15568/15569/15576/15577/15587/,/15564/15565/15566/15567/15568/15569/15576/15577/15587/,15577,15577,Allen,,,
PO2,"[168,77,16]","168,77,16",168,77,16,A84D10,17,37,15599,15599,second (ventral) preoptic domain,/15564/15565/15566/15567/15568/15569/15576/15577/15599/,/15564/15565/15566/15567/15568/15569/15576/15577/15599/,15577,15577,Allen,,,
LTerv,"[168,77,16]","168,77,16",168,77,16,A84D10,17,17,15579,15579,ventricular zone of LTer,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15579/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15579/,15578,15578,Allen,,,
LTerm,"[180,102,50]","180,102,50",180,102,50,B46632,17,18,15580,15580,mantle zone of LTer,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/,15578,15578,Allen,,,
