InDel,ID,Acronym,Hemisphere,red,green,blue,st_level
0,997,brain,,255,255,255,0
1,8,grey,,191,218,227,1
2,567,CH,,176,240,255,2
3,688,CTX,,176,255,184,3
4,695,CTXpl,,112,255,112,4
5,315,Isocortex,,112,255,113,5
6,184,FRP,,38,143,69,8
7,68,FRP1,,38,143,69,11
8,667,FRP2/3,,38,143,69,11
9,526157192,FRP5,,38,143,69,11
10,526157196,FRP6a,,38,143,69,11
11,526322264,FRP6b,,38,143,69,11
12,500,MO,,31,157,90,6
13,107,MO1,,31,157,90,11
14,219,MO2/3,,31,157,90,11
15,299,MO5,,31,157,90,11
16,644,MO6a,,31,157,90,11
17,947,MO6b,,31,157,90,11
18,985,MOp,,31,157,90,8
19,320,MOp1,,31,157,90,11
20,943,MOp2/3,,31,157,90,11
21,648,MOp5,,31,157,90,11
22,844,MOp6a,,31,157,90,11
23,882,MOp6b,,31,157,90,11
24,993,MOs,,31,157,90,8
25,656,MOs1,,31,157,90,11
26,962,MOs2/3,,31,157,90,11
27,767,MOs5,,31,157,90,11
28,1021,MOs6a,,31,157,90,11
29,1085,MOs6b,,31,157,90,11
30,453,SS,,24,128,100,6
31,12993,SS1,,24,128,100,11
32,12994,SS2/3,,24,128,100,11
33,12995,SS4,,24,128,100,11
34,12996,SS5,,24,128,100,11
35,12997,SS6a,,24,128,100,11
36,12998,SS6b,,24,128,100,11
37,322,SSp,,24,128,100,8
38,793,SSp1,,24,128,100,11
39,346,SSp2/3,,24,128,100,11
40,865,SSp4,,24,128,100,11
41,921,SSp5,,24,128,100,11
42,686,SSp6a,,24,128,100,11
43,719,SSp6b,,24,128,100,11
44,353,SSp-n,,24,128,100,9
45,558,SSp-n1,,24,128,100,11
46,838,SSp-n2/3,,24,128,100,11
47,654,SSp-n4,,24,128,100,11
48,702,SSp-n5,,24,128,100,11
49,889,SSp-n6a,,24,128,100,11
50,929,SSp-n6b,,24,128,100,11
51,329,SSp-bfd,,24,128,100,9
52,981,SSp-bfd1,,24,128,100,11
53,201,SSp-bfd2/3,,24,128,100,11
54,1047,SSp-bfd4,,24,128,100,11
55,1070,SSp-bfd5,,24,128,100,11
56,1038,SSp-bfd6a,,24,128,100,11
57,1062,SSp-bfd6b,,24,128,100,11
58,480149202,VISrll,,24,128,100,10
59,480149206,VISrll1,,24,128,100,11
60,480149210,VISrll2/3,,24,128,100,11
61,480149214,VISrll4,,24,128,100,11
62,480149218,VISrll5,,24,128,100,11
63,480149222,VISrll6a,,24,128,100,11
64,480149226,VISrll6b,,24,128,100,11
65,337,SSp-ll,,24,128,100,9
66,1030,SSp-ll1,,24,128,100,11
67,113,SSp-ll2/3,,24,128,100,11
68,1094,SSp-ll4,,24,128,100,11
69,1128,SSp-ll5,,24,128,100,11
70,478,SSp-ll6a,,24,128,100,11
71,510,SSp-ll6b,,24,128,100,11
72,345,SSp-m,,24,128,100,9
73,878,SSp-m1,,24,128,100,11
74,657,SSp-m2/3,,24,128,100,11
75,950,SSp-m4,,24,128,100,11
76,974,SSp-m5,,24,128,100,11
77,1102,SSp-m6a,,24,128,100,11
78,2,SSp-m6b,,24,128,100,11
79,369,SSp-ul,,24,128,100,9
80,450,SSp-ul1,,24,128,100,11
81,854,SSp-ul2/3,,24,128,100,11
82,577,SSp-ul4,,24,128,100,11
83,625,SSp-ul5,,24,128,100,11
84,945,SSp-ul6a,,24,128,100,11
85,1026,SSp-ul6b,,24,128,100,11
86,361,SSp-tr,,24,128,100,9
87,1006,SSp-tr1,,24,128,100,11
88,670,SSp-tr2/3,,24,128,100,11
89,1086,SSp-tr4,,24,128,100,11
90,1111,SSp-tr5,,24,128,100,11
91,9,SSp-tr6a,,24,128,100,11
92,461,SSp-tr6b,,24,128,100,11
93,182305689,SSp-un,,24,128,100,9
94,182305693,SSp-un1,,24,128,100,11
95,182305697,SSp-un2/3,,24,128,100,11
96,182305701,SSp-un4,,24,128,100,11
97,182305705,SSp-un5,,24,128,100,11
98,182305709,SSp-un6a,,24,128,100,11
99,182305713,SSp-un6b,,24,128,100,11
100,378,SSs,,24,128,100,8
101,873,SSs1,,24,128,100,11
102,806,SSs2/3,,24,128,100,11
103,1035,SSs4,,24,128,100,11
104,1090,SSs5,,24,128,100,11
105,862,SSs6a,,24,128,100,11
106,893,SSs6b,,24,128,100,11
107,1057,GU,,0,156,117,6
108,36,GU1,,0,156,117,11
109,180,GU2/3,,0,156,117,11
110,148,GU4,,0,156,117,11
111,187,GU5,,0,156,117,11
112,638,GU6a,,0,156,117,11
113,662,GU6b,,0,156,117,11
114,677,VISC,,17,173,131,8
115,897,VISC1,,17,173,131,11
116,1106,VISC2/3,,17,173,131,11
117,1010,VISC4,,17,173,131,11
118,1058,VISC5,,17,173,131,11
119,857,VISC6a,,17,173,131,11
120,849,VISC6b,,17,173,131,11
121,247,AUD,,1,147,153,6
122,1011,AUDd,,1,147,153,8
123,527,AUDd1,,1,147,153,11
124,600,AUDd2/3,,1,147,153,11
125,678,AUDd4,,1,147,153,11
126,252,AUDd5,,1,147,153,11
127,156,AUDd6a,,1,147,153,11
128,243,AUDd6b,,1,147,153,11
129,480149230,VISlla,,1,147,153,10
130,480149234,VISlla1,,1,147,153,11
131,480149238,VISlla2/3,,1,147,153,11
132,480149242,VISlla4,,1,147,153,11
133,480149246,VISlla5,,1,147,153,11
134,480149250,VISlla6a,,1,147,153,11
135,480149254,VISlla6b,,1,147,153,11
136,1002,AUDp,,1,147,153,8
137,735,AUDp1,,1,147,153,11
138,251,AUDp2/3,,1,147,153,11
139,816,AUDp4,,1,147,153,11
140,847,AUDp5,,1,147,153,11
141,954,AUDp6a,,1,147,153,11
142,1005,AUDp6b,,1,147,153,11
143,1027,AUDpo,,1,147,153,8
144,696,AUDpo1,,1,147,153,11
145,643,AUDpo2/3,,1,147,153,11
146,759,AUDpo4,,1,147,153,11
147,791,AUDpo5,,1,147,153,11
148,249,AUDpo6a,,1,147,153,11
149,456,AUDpo6b,,1,147,153,11
150,1018,AUDv,,1,147,153,8
151,959,AUDv1,,1,147,153,11
152,755,AUDv2/3,,1,147,153,11
153,990,AUDv4,,1,147,153,11
154,1023,AUDv5,,1,147,153,11
155,520,AUDv6a,,1,147,153,11
156,598,AUDv6b,,1,147,153,11
157,669,VIS,,8,133,140,6
158,801,VIS1,,8,133,140,11
159,561,VIS2/3,,8,133,140,11
160,913,VIS4,,8,133,140,11
161,937,VIS5,,8,133,140,11
162,457,VIS6a,,8,133,140,11
163,497,VIS6b,,8,133,140,11
164,402,VISal,,8,133,140,8
165,1074,VISal1,,8,133,140,11
166,905,VISal2/3,,8,133,140,11
167,1114,VISal4,,8,133,140,11
168,233,VISal5,,8,133,140,11
169,601,VISal6a,,8,133,140,11
170,649,VISal6b,,8,133,140,11
171,394,VISam,,8,133,140,8
172,281,VISam1,,8,133,140,11
173,1066,VISam2/3,,8,133,140,11
174,401,VISam4,,8,133,140,11
175,433,VISam5,,8,133,140,11
176,1046,VISam6a,,8,133,140,11
177,441,VISam6b,,8,133,140,11
178,409,VISl,,8,133,140,8
179,421,VISl1,,8,133,140,11
180,973,VISl2/3,,8,133,140,11
181,573,VISl4,,8,133,140,11
182,613,VISl5,,8,133,140,11
183,74,VISl6a,,8,133,140,11
184,121,VISl6b,,8,133,140,11
185,385,VISp,,8,133,140,8
186,593,VISp1,,8,133,140,11
187,821,VISp2/3,,8,133,140,11
188,721,VISp4,,8,133,140,11
189,778,VISp5,,8,133,140,11
190,33,VISp6a,,8,133,140,11
191,305,VISp6b,,8,133,140,11
192,425,VISpl,,8,133,140,8
193,750,VISpl1,,8,133,140,11
194,269,VISpl2/3,,8,133,140,11
195,869,VISpl4,,8,133,140,11
196,902,VISpl5,,8,133,140,11
197,377,VISpl6a,,8,133,140,11
198,393,VISpl6b,,8,133,140,11
199,533,VISpm,,8,133,140,8
200,805,VISpm1,,8,133,140,11
201,41,VISpm2/3,,8,133,140,11
202,501,VISpm4,,8,133,140,11
203,565,VISpm5,,8,133,140,11
204,257,VISpm6a,,8,133,140,11
205,469,VISpm6b,,8,133,140,11
206,312782574,VISli,,8,133,140,8
207,312782578,VISli1,,8,133,140,11
208,312782582,VISli2/3,,8,133,140,11
209,312782586,VISli4,,8,133,140,11
