InDel,ID,Acronym,Hemisphere,red,green,blue,st_level
210,312782590,VISli5,,8,133,140,11
211,312782594,VISli6a,,8,133,140,11
212,312782598,VISli6b,,8,133,140,11
213,312782628,VISpor,,8,133,140,8
214,312782632,VISpor1,,8,133,140,11
215,312782636,VISpor2/3,,8,133,140,11
216,312782640,VISpor4,,8,133,140,11
217,312782644,VISpor5,,8,133,140,11
218,312782648,VISpor6a,,8,133,140,11
219,312782652,VISpor6b,,8,133,140,11
220,31,ACA,,64,166,102,8
221,572,ACA1,,64,166,102,11
222,1053,ACA2/3,,64,166,102,11
223,739,ACA5,,64,166,102,11
224,179,ACA6a,,64,166,102,11
225,227,ACA6b,,64,166,102,11
226,39,ACAd,,64,166,102,9
227,935,ACAd1,,64,166,102,11
228,211,ACAd2/3,,64,166,102,11
229,1015,ACAd5,,64,166,102,11
230,919,ACAd6a,,64,166,102,11
231,927,ACAd6b,,64,166,102,11
232,48,ACAv,,64,166,102,9
233,588,ACAv1,,64,166,102,11
234,296,ACAv2/3,,64,166,102,11
235,772,ACAv5,,64,166,102,11
236,810,ACAv6a,,64,166,102,11
237,819,ACAv6b,,64,166,102,11
238,972,PL,,47,168,80,8
239,171,PL1,,47,168,80,11
240,195,PL2,,47,168,80,11
241,304,PL2/3,,47,168,80,11
242,363,PL5,,47,168,80,11
243,84,PL6a,,47,168,80,11
244,132,PL6b,,47,168,80,11
245,44,ILA,,89,179,99,8
246,707,ILA1,,89,179,99,11
247,747,ILA2,,89,179,99,11
248,556,ILA2/3,,89,179,99,11
249,827,ILA5,,89,179,99,11
250,1054,ILA6a,,89,179,99,11
251,1081,ILA6b,,89,179,99,11
252,714,ORB,,36,138,94,8
253,264,ORB1,,36,138,94,11
254,492,ORB2/3,,36,138,94,11
255,352,ORB5,,36,138,94,11
256,476,ORB6a,,36,138,94,11
257,516,ORB6b,,36,138,94,11
258,723,ORBl,,36,138,94,9
259,448,ORBl1,,36,138,94,11
260,412,ORBl2/3,,36,138,94,11
261,630,ORBl5,,36,138,94,11
262,440,ORBl6a,,36,138,94,11
263,488,ORBl6b,,36,138,94,11
264,731,ORBm,,36,138,94,9
265,484,ORBm1,,36,138,94,11
266,524,ORBm2,,36,138,94,11
267,582,ORBm2/3,,36,138,94,11
268,620,ORBm5,,36,138,94,11
269,910,ORBm6a,,36,138,94,11
270,527696977,ORBm6b,,36,138,94,11
271,738,ORBv,,36,138,94,9
272,746,ORBvl,,36,138,94,9
273,969,ORBvl1,,36,138,94,11
274,288,ORBvl2/3,,36,138,94,11
275,1125,ORBvl5,,36,138,94,11
276,608,ORBvl6a,,36,138,94,11
277,680,ORBvl6b,,36,138,94,11
278,95,AI,,33,152,102,8
279,104,AId,,33,152,102,9
280,996,AId1,,33,152,102,11
281,328,AId2/3,,33,152,102,11
282,1101,AId5,,33,152,102,11
283,783,AId6a,,33,152,102,11
284,831,AId6b,,33,152,102,11
285,111,AIp,,33,152,102,9
286,120,AIp1,,33,152,102,11
287,163,AIp2/3,,33,152,102,11
288,344,AIp5,,33,152,102,11
289,314,AIp6a,,33,152,102,11
290,355,AIp6b,,33,152,102,11
291,119,AIv,,33,152,102,9
292,704,AIv1,,33,152,102,11
293,694,AIv2/3,,33,152,102,11
294,800,AIv5,,33,152,102,11
295,675,AIv6a,,33,152,102,11
296,699,AIv6b,,33,152,102,11
297,254,RSP,,26,166,152,8
298,894,RSPagl,,26,166,152,9
299,671,RSPagl1,,26,166,152,11
300,965,RSPagl2/3,,26,166,152,11
301,774,RSPagl5,,26,166,152,11
302,906,RSPagl6a,,26,166,152,11
303,279,RSPagl6b,,26,166,152,11
304,480149258,VISmma,,26,166,152,10
305,480149262,VISmma1,,26,166,152,11
306,480149266,VISmma2/3,,26,166,152,11
307,480149270,VISmma4,,26,166,152,11
308,480149274,VISmma5,,26,166,152,11
309,480149278,VISmma6a,,26,166,152,11
310,480149282,VISmma6b,,26,166,152,11
311,480149286,VISmmp,,26,166,152,10
312,480149290,VISmmp1,,26,166,152,11
313,480149294,VISmmp2/3,,26,166,152,11
314,480149298,VISmmp4,,26,166,152,11
315,480149302,VISmmp5,,26,166,152,11
316,480149306,VISmmp6a,,26,166,152,11
317,480149310,VISmmp6b,,26,166,152,11
318,480149314,VISm,,26,166,152,10
319,480149318,VISm1,,26,166,152,11
320,480149322,VISm2/3,,26,166,152,11
321,480149326,VISm4,,26,166,152,11
322,480149330,VISm5,,26,166,152,11
323,480149334,VISm6a,,26,166,152,11
324,480149338,VISm6b,,26,166,152,11
325,879,RSPd,,26,166,152,9
326,442,RSPd1,,26,166,152,11
327,434,RSPd2/3,,26,166,152,11
328,545,RSPd4,,26,166,152,11
329,610,RSPd5,,26,166,152,11
330,274,RSPd6a,,26,166,152,11
331,330,RSPd6b,,26,166,152,11
332,886,RSPv,,26,166,152,9
333,542,RSPv1,,26,166,152,11
334,606,RSPv2,,26,166,152,11
335,430,RSPv2/3,,26,166,152,11
336,687,RSPv5,,26,166,152,11
337,590,RSPv6a,,26,166,152,11
338,622,RSPv6b,,26,166,152,11
339,22,PTLp,,0,159,172,6
340,532,PTLp1,,0,159,172,11
341,241,PTLp2/3,,0,159,172,11
342,635,PTLp4,,0,159,172,11
343,683,PTLp5,,0,159,172,11
344,308,PTLp6a,,0,159,172,11
345,340,PTLp6b,,0,159,172,11
346,312782546,VISa,,0,159,172,8
347,312782550,VISa1,,0,159,172,11
348,312782554,VISa2/3,,0,159,172,11
349,312782558,VISa4,,0,159,172,11
350,312782562,VISa5,,0,159,172,11
351,312782566,VISa6a,,0,159,172,11
352,312782570,VISa6b,,0,159,172,11
353,417,VISrl,,0,159,172,8
354,312782604,VISrl1,,0,159,172,11
355,312782608,VISrl2/3,,0,159,172,11
356,312782612,VISrl4,,0,159,172,11
357,312782616,VISrl5,,0,159,172,11
358,312782620,VISrl6a,,0,159,172,11
359,312782624,VISrl6b,,0,159,172,11
360,541,TEa,,21,176,179,6
361,97,TEa1,,21,176,179,11
362,1127,TEa2/3,,21,176,179,11
363,234,TEa4,,21,176,179,11
364,289,TEa5,,21,176,179,11
365,729,TEa6a,,21,176,179,11
366,786,TEa6b,,21,176,179,11
367,922,PERI,,14,150,132,8
368,540,PERI1,,14,150,132,11
369,888,PERI2/3,,14,150,132,11
370,692,PERI5,,14,150,132,11
371,335,PERI6a,,14,150,132,11
372,368,PERI6b,,14,150,132,11
373,895,ECT,,13,159,145,8
374,836,ECT1,,13,159,145,11
375,427,ECT2/3,,13,159,145,11
376,988,ECT5,,13,159,145,11
377,977,ECT6a,,13,159,145,11
378,1045,ECT6b,,13,159,145,11
379,698,OLF,,154,210,189,5
380,507,MOB,,154,210,189,8
381,212,MOBgl,,130,199,174,11
382,220,MOBgr,,130,199,174,11
383,228,MOBipl,,154,210,189,11
384,236,MOBmi,,130,199,174,11
385,244,MOBopl,,154,210,189,11
386,151,AOB,,157,240,210,8
387,188,AOBgl,,157,240,210,11
388,196,AOBgr,,149,228,200,11
389,204,AOBmi,,157,240,210,11
390,159,AON,,84,191,148,8
391,167,AONd,,84,191,148,9
392,175,AONe,,84,191,148,9
393,183,AONl,,84,191,148,9
394,191,AONm,,84,191,148,9
395,199,AONpv,,84,191,148,9
396,160,AON1,,84,191,148,11
397,168,AON2,,84,191,148,11
398,589,TT,,98,208,159,8
399,597,TTd,,98,208,159,9
400,297,TTd1-4,,98,208,159,11
401,1034,TTd1,,98,208,159,11
402,1042,TTd2,,98,208,159,11
403,1050,TTd3,,98,208,159,11
404,1059,TTd4,,98,208,159,11
405,605,TTv,,98,208,159,9
406,306,TTv1-3,,98,208,159,11
407,1067,TTv1,,98,208,159,11
408,1075,TTv2,,98,208,159,11
409,1082,TTv3,,98,208,159,11
410,814,DP,,164,218,164,8
411,496,DP1,,164,218,164,11
412,535,DP2,,164,218,164,11
413,360,DP2/3,,164,218,164,11
414,646,DP5,,164,218,164,11
415,267,DP6a,,164,218,164,11
416,961,PIR,,106,203,186,8
417,152,PIR1-3,,106,203,186,11
418,276,PIR1,,106,203,186,11
419,284,PIR2,,106,203,186,11
420,291,PIR3,,106,203,186,11
421,619,NLOT,,149,228,200,8
422,392,NLOT1-3,,149,228,200,11
423,260,NLOT1,,149,228,200,11
424,268,NLOT2,,149,228,200,11
425,1139,NLOT3,,149,228,200,11
426,631,COA,,97,231,183,8
427,639,COAa,,97,231,183,9
428,192,COAa1,,97,231,183,11
429,200,COAa2,,97,231,183,11
430,208,COAa3,,97,231,183,11
431,647,COAp,,97,231,183,9
432,655,COApl,,97,231,183,10
433,584,COApl1-2,,97,231,183,11
434,376,COApl1-3,,97,231,183,11
435,216,COApl1,,97,231,183,11
436,224,COApl2,,97,231,183,11
437,232,COApl3,,97,231,183,11
438,663,COApm,,97,231,183,10
439,592,COApm1-2,,97,231,183,11
440,383,COApm1-3,,97,231,183,11
441,240,COApm1,,97,231,183,11
442,248,COApm2,,97,231,183,11
443,256,COApm3,,97,231,183,11
444,788,PAA,,89,218,171,8
445,400,PAA1-3,,89,218,171,11
446,408,PAA1,,89,218,171,11
447,416,PAA2,,89,218,171,11
448,424,PAA3,,89,218,171,11
449,566,TR,,168,236,211,8
450,517,TR1-3,,168,236,211,11
451,1140,TR1,,168,236,211,11
452,1141,TR2,,168,236,211,11
453,1142,TR3,,168,236,211,11
454,1089,HPF,,126,208,75,5
455,1080,HIP,,126,208,75,6
456,375,CA,,126,208,75,8
457,382,CA1,,126,208,75,9
458,391,CA1slm,,126,208,75,11
459,399,CA1so,,126,208,75,11
460,407,CA1sp,,102,168,61,11
461,415,CA1sr,,126,208,75,11
462,423,CA2,,126,208,75,9
463,431,CA2slm,,126,208,75,11
464,438,CA2so,,126,208,75,11
465,446,CA2sp,,102,168,61,11
466,454,CA2sr,,126,208,75,11
467,463,CA3,,126,208,75,9
468,471,CA3slm,,126,208,75,11
469,479,CA3slu,,126,208,75,11
470,486,CA3so,,126,208,75,11
471,495,CA3sp,,102,168,61,11
472,504,CA3sr,,126,208,75,11
473,726,DG,,126,208,75,8
474,10703,DG-mo,,126,208,75,11
475,10704,DG-po,,126,208,75,11
476,632,DG-sg,,102,168,61,11
477,10702,DG-sgz,,126,208,75,11
478,734,DGcr,,126,208,75,9
479,742,DGcr-mo,,126,208,75,11
480,751,DGcr-po,,126,208,75,11
481,758,DGcr-sg,,126,208,75,11
482,766,DGlb,,126,208,75,9
483,775,DGlb-mo,,126,208,75,11
484,782,DGlb-po,,126,208,75,11
485,790,DGlb-sg,,126,208,75,11
486,799,DGmb,,126,208,75,9
487,807,DGmb-mo,,126,208,75,11
488,815,DGmb-po,,126,208,75,11
489,823,DGmb-sg,,126,208,75,11
490,982,FC,,126,208,75,8
491,19,IG,,126,208,75,8
492,822,RHP,,50,184,37,6
493,909,ENT,,50,184,37,8
494,918,ENTl,,50,184,37,9
495,1121,ENTl1,,50,184,37,11
496,20,ENTl2,,50,184,37,11
497,999,ENTl2/3,,50,184,37,11
498,715,ENTl2a,,50,184,37,11
499,764,ENTl2b,,50,184,37,11
500,52,ENTl3,,50,184,37,11
501,92,ENTl4,,50,184,37,11
502,312,ENTl4/5,,50,184,37,11
503,139,ENTl5,,50,184,37,11
504,387,ENTl5/6,,50,184,37,11
505,28,ENTl6a,,50,184,37,11
506,60,ENTl6b,,50,184,37,11
507,926,ENTm,,50,184,37,9
508,526,ENTm1,,50,184,37,11
509,543,ENTm2,,50,184,37,11
510,468,ENTm2a,,50,184,37,11
511,508,ENTm2b,,50,184,37,11
512,664,ENTm3,,50,184,37,11
513,712,ENTm4,,50,184,37,11
514,727,ENTm5,,50,184,37,11
515,550,ENTm5/6,,50,184,37,11
516,743,ENTm6,,50,184,37,11
517,934,ENTmv,,50,184,37,9
518,259,ENTmv1,,50,184,37,11
519,324,ENTmv2,,50,184,37,11
520,371,ENTmv3,,50,184,37,11
521,419,ENTmv4,,50,184,37,11
522,1133,ENTmv5/6,,50,184,37,11
523,843,PAR,,114,213,105,8
524,10693,PAR1,,114,213,105,11
525,10694,PAR2,,114,213,105,11
526,10695,PAR3,,114,213,105,11
527,1037,POST,,72,200,60,8
528,10696,POST1,,72,200,60,11
529,10697,POST2,,72,200,60,11
530,10698,POST3,,72,200,60,11
531,1084,PRE,,89,185,71,8
532,10699,PRE1,,89,185,71,11
533,10700,PRE2,,89,185,71,11
534,10701,PRE3,,89,185,71,11
535,502,SUB,,79,194,68,8
536,509,SUBd,,79,194,68,9
537,829,SUBd-m,,79,194,68,11
538,845,SUBd-sp,,75,181,71,11
539,837,SUBd-sr,,79,194,68,11
540,518,SUBv,,79,194,68,9
541,853,SUBv-m,,79,194,68,11
542,870,SUBv-sp,,75,181,71,11
543,861,SUBv-sr,,79,194,68,11
544,484682470,ProS,,88,186,72,8
545,484682475,ProSd,,88,186,72,9
546,484682479,ProSd-m,,88,186,72,11
547,484682483,ProSd-sp,,86,184,75,11
548,484682487,ProSd-sr,,88,186,72,11
549,484682492,ProSv,,88,186,72,9
550,484682496,ProSv-m,,88,186,72,11
551,484682500,ProSv-sp,,86,184,75,11
552,484682504,Prosv-sr,,88,186,72,11
553,589508447,HATA,,51,185,50,8
554,484682508,APr,,51,185,50,8
555,703,CTXsp,,138,218,135,5
556,16,6b,,138,218,135,11
557,583,CLA,,138,218,135,8
558,942,EP,,160,238,157,8
559,952,EPd,,160,238,157,9
560,966,EPv,,160,238,157,9
561,131,LA,,144,235,141,8
562,295,BLA,,157,231,156,8
563,303,BLAa,,157,231,156,9
564,311,BLAp,,157,231,156,9
565,451,BLAv,,157,231,156,9
566,319,BMA,,132,234,129,8
567,327,BMAa,,132,234,129,9
568,334,BMAp,,132,234,129,9
569,780,PA,,151,236,147,8
570,623,CNU,,152,214,249,3
571,477,STR,,152,214,249,5
572,485,STRd,,152,214,249,6
573,672,CP,,152,214,249,8
574,493,STRv,,128,205,248,6
575,56,ACB,,128,205,248,8
576,998,FS,,128,205,248,8
577,754,OT,,128,205,248,8
578,481,isl,,128,205,248,9
579,489,islm,,128,205,248,9
580,144,OT1-3,,128,205,248,11
581,458,OT1,,128,205,248,11
582,465,OT2,,128,205,248,11
583,473,OT3,,128,205,248,11
584,549009199,LSS,,128,205,248,8
585,275,LSX,,144,203,237,6
586,242,LS,,144,203,237,8
587,250,LSc,,144,203,237,9
588,258,LSr,,144,203,237,9
589,266,LSv,,144,203,237,9
590,310,SF,,144,203,237,8
591,333,SH,,144,203,237,8
592,278,sAMY,,128,192,226,6
593,23,AAA,,128,192,226,8
594,292,BA,,128,192,226,8
595,536,CEA,,128,192,226,8
596,544,CEAc,,128,192,226,9
597,551,CEAl,,128,192,226,9
598,559,CEAm,,128,192,226,9
599,1105,IA,,128,192,226,8
600,403,MEA,,128,192,226,8
601,411,MEAad,,128,192,226,9
602,418,MEAav,,128,192,226,9
603,426,MEApd,,128,192,226,9
604,472,MEApd-a,,128,192,226,11
605,480,MEApd-b,,128,192,226,11
606,487,MEApd-c,,128,192,226,11
607,435,MEApv,,128,192,226,9
608,803,PAL,,133,153,204,5
609,818,PALd,,133,153,204,6
610,1022,GPe,,133,153,204,8
611,1031,GPi,,133,153,204,8
612,835,PALv,,162,177,216,6
613,342,SI,,162,177,216,8
614,298,MA,,162,177,216,8
615,826,PALm,,150,167,211,6
616,904,MSC,,150,167,211,8
617,564,MS,,150,167,211,9
618,596,NDB,,150,167,211,9
619,581,TRS,,150,167,211,8
620,809,PALc,,179,192,223,6
621,351,BST,,179,192,223,8
622,359,BSTa,,179,192,223,9
623,537,BSTal,,179,192,223,10
624,498,BSTam,,179,192,223,10
625,505,BSTdm,,179,192,223,10
626,513,BSTfu,,179,192,223,10
627,546,BSTju,,179,192,223,10
628,521,BSTmg,,179,192,223,10
629,554,BSTov,,179,192,223,10
630,562,BSTrh,,179,192,223,10
631,529,BSTv,,179,192,223,10
632,367,BSTp,,179,192,223,9
633,569,BSTd,,179,192,223,10
634,578,BSTpr,,179,192,223,10
635,585,BSTif,,179,192,223,10
636,594,BSTtr,,179,192,223,10
637,602,BSTse,,179,192,223,10
638,287,BAC,,179,192,223,8
639,343,BS,,255,112,128,2
640,1129,IB,,255,112,128,3
641,549,TH,,255,112,128,5
642,864,DORsm,,255,128,132,6
643,637,VENT,,255,128,132,7
644,629,VAL,,255,128,132,8
645,685,VM,,255,128,132,8
646,709,VP,,255,128,132,8
647,718,VPL,,255,128,132,9
648,725,VPLpc,,255,128,132,9
649,733,VPM,,255,128,132,9
650,741,VPMpc,,255,128,132,9
651,563807435,PoT,,255,128,132,8
652,406,SPF,,255,128,132,8
653,414,SPFm,,255,128,132,9
654,422,SPFp,,255,128,132,9
655,609,SPA,,255,128,132,8
656,1044,PP,,255,128,132,8
657,1008,GENd,,255,128,132,7
658,475,MG,,255,128,132,8
659,1072,MGd,,255,128,132,9
660,1079,MGv,,255,128,132,9
661,1088,MGm,,255,128,132,9
662,170,LGd,,255,128,132,8
663,496345664,LGd-sh,,255,128,132,9
664,496345668,LGd-co,,255,128,132,9
665,496345672,LGd-ip,,255,128,132,9
666,856,DORpm,,255,144,159,6
667,138,LAT,,255,144,159,7
668,218,LP,,255,144,159,8
669,1020,PO,,255,144,159,8
670,1029,POL,,255,144,159,8
671,325,SGN,,255,144,159,8
672,560581551,Eth,,255,144,159,8
673,560581555,REth,,255,144,159,8
674,239,ATN,,255,144,159,7
675,255,AV,,255,144,159,8
676,127,AM,,255,144,159,8
677,1096,AMd,,255,144,159,9
678,1104,AMv,,255,144,159,9
679,64,AD,,255,144,159,8
680,1120,IAM,,255,144,159,8
681,1113,IAD,,255,144,159,8
682,155,LD,,255,144,159,8
683,444,MED,,255,144,159,7
684,59,IMD,,255,144,159,8
685,362,MD,,255,144,159,8
686,617,MDc,,255,144,159,9
687,626,MDl,,255,144,159,9
688,636,MDm,,255,144,159,9
689,366,SMT,,255,144,159,8
690,1077,PR,,255,144,159,8
691,571,MTN,,255,144,159,7
692,149,PVT,,255,144,159,8
693,15,PT,,255,144,159,8
694,181,RE,,255,144,159,8
695,560581559,Xi,,255,144,159,8
696,51,ILM,,255,144,159,7
697,189,RH,,255,144,159,8
698,599,CM,,255,144,159,8
699,907,PCN,,255,144,159,8
700,575,CL,,255,144,159,8
701,930,PF,,255,144,159,8
702,560581563,PIL,,255,144,159,8
703,262,RT,,255,144,159,8
704,1014,GENv,,255,144,159,7
705,27,IGL,,255,144,159,8
706,563807439,IntG,,255,144,159,8
707,178,LGv,,255,144,159,8
708,300,LGvl,,255,144,159,9
709,316,LGvm,,255,144,159,9
710,321,SubG,,255,144,159,8
711,958,EPI,,255,144,159,7
712,483,MH,,255,144,159,8
713,186,LH,,255,144,159,8
714,953,PIN,,255,144,159,8
715,1097,HY,,230,68,56,5
716,157,PVZ,,255,93,80,6
717,390,SO,,255,93,80,8
718,332,ASO,,255,93,80,7
719,432,NC,,255,93,80,8
720,38,PVH,,255,93,80,8
721,71,PVHm,,255,93,80,9
722,47,PVHam,,255,93,80,10
723,79,PVHmm,,255,93,80,10
724,103,PVHpm,,255,93,80,10
725,652,PVHpml,,255,93,80,11
726,660,PVHpmm,,255,93,80,11
727,94,PVHp,,255,93,80,9
728,55,PVHap,,255,93,80,10
729,87,PVHmpd,,255,93,80,10
730,110,PVHpv,,255,93,80,10
731,30,PVa,,255,93,80,9
732,118,PVi,,255,93,80,9
733,223,ARH,,255,93,80,8
734,141,PVR,,255,85,71,6
735,72,ADP,,255,85,71,8
736,80,AHA,,255,85,71,8
737,263,AVP,,255,85,71,8
